SimTime,SPAD_tester.Anode,SPAD_tester.OUT,SPAD_tester.OUT_$flow,SPAD_tester.VOP,SPAD_tester.VPHOTON,SPAD_tester.net018
0,1.15E-07,1.199999146,0,31.2,0,0
2E-10,1.15E-07,1.199999146,0,31.2,0,0
6E-10,1.15E-07,1.199999146,0,31.2,0,0
1.4E-09,1.15E-07,1.199999146,0,31.2,0,0
3E-09,1.15E-07,1.199999146,0,31.2,0,0
3.0001E-09,1.15E-07,1.199999146,0,31.2,0.001171875,0.001171875
3.00029E-09,1.15E-07,1.199999146,0,31.2,0.003515625,0.003515625
3.00068E-09,1.15E-07,1.199999146,0,31.2,0.008203125,0.008203125
3.00146E-09,1.15E-07,1.199999146,0,31.2,0.017578125,0.017578125
3.00303E-09,1.15E-07,1.199999146,0,31.2,0.036328125,0.036328125
3.00615E-09,1.15E-07,1.199999146,0,31.2,0.073828125,0.073828125
3.0124E-09,1.15E-07,1.199999146,0,31.2,0.148828125,0.148828125
3.0249E-09,1.15E-07,1.199999146,0,31.2,0.298828125,0.298828125
3.0499E-09,1.15E-07,1.199999146,0,31.2,0.598828125,0.598828125
3.07495E-09,1.15E-07,1.199999146,0,31.2,0.899414063,0.899414063
3.07652E-09,0.050034097,1.210113505,0,31.2,0.918200684,0.918200684
3.07965E-09,0.234645177,1.233511659,0,31.2,0.955773926,0.955773926
3.081E-09,0.304166661,1.235677851,0,31.2,0.971959494,0.971959494
3.08369E-09,0.428717851,1.231787459,0,31.2,1.004316493,1.004316493
3.08909E-09,0.628182492,1.076859416,0,31.2,1.06903049,1.06903049
3.09351E-09,0.751351964,0.706643878,0,31.2,1.122104546,1.122104546
3.09675E-09,0.823787902,0.337907197,0,31.2,1.161052273,1.161052273
3.1E-09,0.884250766,0.078572754,0,31.2,1.2,1.2
3.10186E-09,0.913062707,0.034640604,0,31.2,1.2,1.2
3.10511E-09,0.959349384,0.001101103,0,31.2,1.2,1.2
3.10799E-09,0.993946093,0.003754293,0,31.2,1.2,1.2
3.11374E-09,1.048841206,0.00199786,0,31.2,1.2,1.2
3.11899E-09,1.085577387,0.001654584,0,31.2,1.2,1.2
3.12948E-09,1.134272269,0.000725675,0,31.2,1.2,1.2
3.14806E-09,1.175020259,0.000309539,0,31.2,1.2,1.2
3.17128E-09,1.191618587,2.68E-05,0,31.2,1.2,1.2
3.2E-09,1.197541812,6.16E-05,0,31.2,1.2,1.2
3.21011E-09,1.198488383,2.35E-05,0,31.2,1.078636376,1.078636376
3.23034E-09,1.196127386,-6.68E-05,0,31.2,0.835909128,0.835909128
3.2708E-09,1.182933676,-7.35E-05,0,31.2,0.350454631,0.350454631
3.3E-09,1.17349789,-6.99E-05,0,31.2,0,0
3.35841E-09,1.154993306,-7.12E-05,0,31.2,0,0
3.47523E-09,1.118551901,-7.14E-05,0,31.2,0,0
3.70584E-09,1.049879913,-7.09E-05,0,31.2,0,0
3.82115E-09,1.017123623,-6.90E-05,0,31.2,0,0
4.05176E-09,0.954585118,-4.99E-05,0,31.2,0,0
4.16707E-09,0.924759869,-2.04E-05,0,31.2,0,0
