SimTime,SETUP.OUT,SETUP.BIT_GEN
0,0,1
10000,0,1
10050.025,0,1
10100,0,1
10150.025,0,1
10250.025,0,1
10450.025,0,1
10850.025,0,1
11650.025,0,1
13250.025,0,1
16450.025,0,1
22850.025,0,1
25000,0,1
25100,0,0
25300,0,0
25700,0,0
26500,0,0
28100,0,0
30000,0,0
30100,0,0
30300,0,0
30700,0,0
31500,0,0
33100,0,0
36300,0,0
40000,0,0
40050.025,0,0
40100,0,0
40150.025,0,0
40250.025,0,0
40450.025,0,0
40850.025,0,0
41650.025,0,0
43250.025,0,0
46450.025,0,0
50000,0,0
50050.025,0,0.50025000050002322
50100,0,1
50199.9499999,0,0.99999999999999989
50399.8499996,0,1
50799.6499992,0,1
51599.2499984,0,1
53198.4499968,0,1
56396.8499936,0,1
62793.6499872,0,1
75000,0,1
75100,0,0
75299.9999999,0,0
75699.9999999,0,0
76499.9999999,0,0
78099.9999999,0,0
80000,0,0
80050.025,0,0
80100,0,0
80150.025,0,0
80250.025,0,0
80450.025,0,0
80850.025,0,0
81650.025,0,0
83250.025,0,0
86450.025,0,0
90000,0,0
90100,0,0
90300,0,0
90699.9999999,0,0
91499.9999999,0,0
93099.9999999,0,0
96299.9999999,0,0
100000,0,0
100050.025,0,0.50025000050008939
100100,0,1
100150.025,0,1
100250,1,1
100250.025,1,1
100450.025,1,1
100850.025,1,1
101650.025,1,1
103250.025,1,1
106450.025,1,1
110000,1,1
110050.025,1,1
110100,1,1
110150.025,1,1
110250.025,1,1
110450.025,1,1
110850.025,1,1
111650.025,1,1
113250.025,1,1
116450.025,1,1
122850.025,1,1
125000,1,1
125100,1,0
125300,1,0
125700,1,0
126500,1,0
128100,1,0
130000,1,0
130100,1,0
130300,1,0
130700,1,0
131500,1,0
133100,1,0
136300,1,0
142700,1,0
150000,1,0
150050.025,1,0.50025000050008939
150100,1,1
150150.025,1,1
150250,0,1
150250.025,0,1
150450.025,0,1
150850.025,0,1
151650.025,0,1
153250.025,0,1
156450.025,0,1
160000,0,1
160050.025,0,1
160100,0,1
160150.025,0,1
160250.025,0,1
160450.025,0,1
160850.025,0,1
161650.025,0,1
163250.025,0,1
166450.025,0,1
172850.025,0,1
175000,0,1
175100,0,0
175300,0,0
175700,0,0
176500,0,0
178100,0,0
181300,0,0
187700,0,0
200000,0,0
200050.025,0,0.50025000050008939
200100,0,1
200150.025,0,1
200250,1,1
200250.025,1,1
200450.025,1,1
200850.025,1,1
201650.025,1,1
203250.025,1,1
206450.025,1,1
212850.025,1,1
220000,1,1
220100,1,1
220300,1,1
220700,1,1
221500,1,1
223100,1,1
225000,1,1
225100,1,0
225300,1,0
225700,1,0
226500,1,0
228100,1,0
230000,1,0
230050.025,1,0
230100,1,0
230150.025,1,0
230250.025,1,0
230450.025,1,0
230850.025,1,0
231650.025,1,0
233250.025,1,0
236450.025,1,0
242850.025,1,0
250000,1,0
250050.025,1,0.50025000050008939
250100,1,1
250150.025,1,1
250250,0,1
250250.025,0,1
250450.025,0,1
250850.025,0,1
251650.025,0,1
253250.025,0,1
256450.025,0,1
260000,0,1
260100,0,1
260300,0,1
260700,0,1
261500,0,1
263100,0,1
266300,0,1
270000,0,1
270050.025,0,1
270100,0,1
270150.025,0,1
270250.025,0,1
270450.025,0,1
270850.025,0,1
271650.025,0,1
273250.025,0,1
275000,0,1
275100,0,0
275300,0,0
275700,0,0
276500,0,0
278100,0,0
281300,0,0
287700,0,0
290000,0,0
290100,0,0
290300,0,0
290700,0,0
291500,0,0
293100,0,0
296300,0,0
300000,0,0
300050.025,0,0.50025000050008939
300100,0,1
300150.025,0,1
300250,1,1
300250.025,1,1
300450.025,1,1
300850.025,1,1
301650.025,1,1
303250.025,1,1
306450.025,1,1
312850.025,1,1
320000,1,1
320050.025,1,1
320100,1,1
320150.025,1,1
320250.025,1,1
320450.025,1,1
320850.025,1,1
321650.025,1,1
323250.025,1,1
325000,1,1
325100,1,0
325300,1,0
325700,1,0
326500,1,0
328100,1,0
330000,1,0
330100,1,0
330300,1,0
330700,1,0
331500,1,0
333100,1,0
336300,1,0
340000,1,0
340050.025,1,0
340100,1,0
340150.025,1,0
340250.025,1,0
340450.025,1,0
340850.025,1,0
341650.025,1,0
343250.025,1,0
346450.025,1,0
350000,1,0
350050.025,1,0.50025000050008939
350100,1,1
350199.9499999,1,1
350399.8499997,1,1
350799.6499992,1,1
351599.2499984,1,1
353198.4499968,1,1
356396.8499936,1,1
362793.6499872,1,1
370000,1,1
370100,1,1
370300,1,1
370700,1,1
371500,1,1
373100,1,1
375000,1,1
375100,1,0
375300,1,0
375700,1,0
376500,1,0
378100,1,0
381300,1,0
387700,1,0
390000,1,0
390050.025,1,0
390100,1,0
390150.025,1,0
390250.025,1,0
390450.025,1,0
390850.025,1,0
391650.025,1,0
393250.025,1,0
396450.025,1,0
400000,1,0
400050.025,1,0.50025000050008939
400100,1,1
400150.025,1,1
400250,0,1
400250.025,0,1
400450.025,0,1
400850.025,0,1
401650.025,0,1
403250.025,0,1
406450.025,0,1
410000,0,1
410050.025,0,1
410100,0,1
410150.025,0,1
410250.025,0,1
410450.025,0,1
410850.025,0,1
411650.025,0,1
413250.025,0,1
416450.025,0,1
420000,0,1
420100,0,1
420300,0,1
420700,0,1
421500,0,1
423100,0,1
425000,0,1
425100,0,0
425300,0,0
425700,0,0
426500,0,0
428100,0,0
431300,0,0
437700,0,0
450000,0,0
450050.025,0,0.50025000050008939
450100,0,1
450150.025,0,1
450250,1,1
450250.025,1,1
450450.025,1,1
450850.025,1,1
451650.025,1,1
453250.025,1,1
456450.025,1,1
462850.025,1,1
470000,1,1
470100,1,1
470300,1,1
470700,1,1
471500,1,1
473100,1,1
475000,1,1
475100,1,0
475300,1,0
475700,1,0
476500,1,0
478100,1,0
480000,1,0
480050.025,1,0
480100,1,0
480150.025,1,0
480250.025,1,0
480450.025,1,0
480850.025,1,0
481650.025,1,0
483250.025,1,0
486450.025,1,0
490000,1,0
490100,1,0
490300,1,0
490700,1,0
491500,1,0
493100,1,0
496300,1,0
500000,1,0
500050.025,1,0.50025000049956003
500100,1,1
500150.025,1,1
500250.025,1,1
500450.025,1,1
500850.025,1,1
501650.025,1,1
503250.025,1,1
506450.025,1,1
512850.025,1,1
525000,1,1
525100,1,0
525300,1,0
525700,1,0
526500,1,0
528100,1,0
530000,1,0
530100,1,0
530300,1,0
530700,1,0
531500,1,0
533100,1,0
536300,1,0
542700,1,0
550000,1,0
550050.025,1,0.50025000049956003
550100,1,1
550150.025,1,1
550250,0,1
550250.025,0,1
550450.025,0,1
550850.025,0,1
551650.025,0,1
553250.025,0,1
556450.025,0,1
560000,0,1
560100,0,1
560300,0,1
560700,0,1
561500,0,1
563100,0,1
566300,0,1
570000,0,1
570050.025,0,1
570100,0,1
570150.025,0,1
570250.025,0,1
570450.025,0,1
570850.025,0,1
571650.025,0,1
573250.025,0,1
575000,0,1
575100,0,0
575300,0,0
575700,0,0
576500,0,0
578100,0,0
581300,0,0
587700,0,0
590000,0,0
590100,0,0
590300,0,0
590700,0,0
591500,0,0
593100,0,0
596300,0,0
600000,0,0
600050.025,0,0.50025000049956003
600100,0,1
600150.025,0,1
600250.025,0,1
600450.025,0,1
600850.025,0,1
601650.025,0,1
603250.025,0,1
606450.025,0,1
610000,0,1
610100,0,1
610300,0,1
610700,0,1
611500,0,1
613100,0,1
616300,0,1
620000,0,1
620050.025,0,1
620100,0,1
620150.025,0,1
620250.025,0,1
620450.025,0,1
620850.025,0,1
621650.025,0,1
623250.025,0,1
625000,0,1
625100,0,0
625300,0,0
625700,0,0
626500,0,0
628100,0,0
630000,0,0
630100,0,0
630300,0,0
630700,0,0
631500,0,0
633100,0,0
636300,0,0
642700,0,0
650000,0,0
650050.025,0,0.50025000049956003
650100,0,1
650199.9499999,0,1
650399.8499997,0,0.99999999999999956
650799.6499993,0,1
651599.2499985,0,1
653198.4499969,0,1
656396.8499937,0,1
660000,0,1
660050.025,0,1
660100,0,1
660150.025,0,1
660250.025,0,1
660450.025,0,1
660850.025,0,1
661650.025,0,1
663250.025,0,1
666450.025,0,1
672850.025,0,1
675000,0,1
675100,0,0
675300,0,0
675700,0,0
676500,0,0
678100,0,0
681300,0,0
687700,0,0
690000,0,0
690100,0,0
690300,0,0
690700,0,0
691500,0,0
693100,0,0
696300,0,0
700000,0,0
700050.025,0,0.50025000049956003
700100,0,1
700150.025,0,1
700250,1,1
700250.025,1,1
700450.025,1,1
700850.025,1,1
701650.025,1,1
703250.025,1,1
706450.025,1,1
712850.025,1,1
720000,1,1
720100,1,1
720300,1,1
720700,1,1
721500,1,1
723100,1,1
725000,1,1
725100,1,0
725300,1,0
725700,1,0
726500,1,0
728100,1,0
731300,1,0
737700,1,0
750000,1,0
750050.025,1,0.50025000049956003
750100,1,1
750150.025,1,1
750250,0,1
750250.025,0,1
750450.025,0,1
750850.025,0,1
751650.025,0,1
753250.025,0,1
756450.025,0,1
762850.025,0,1
770000,0,1
770050.025,0,1
770100,0,1
770150.025,0,1
770250.025,0,1
770450.025,0,1
770850.025,0,1
771650.025,0,1
773250.025,0,1
775000,0,1
775100,0,0
775300,0,0
775700,0,0
776500,0,0
778100,0,0
781300,0,0
